environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
651,0,-1,-1,-1,1,9.0,652
1214,0,-1,-1,-1,2,0.0,569
1761,0,-1,-1,-1,3,0.0,561
2350,698,0.06298966,0.011524638,0.0053664674,4,4.0,594
2961,1920,0.8007818,0.15675269,0.017018337,5,5.0,626
3581,3160,0.9351515,0.18320864,0.019108307,6,4.0,641
4345,4688,1.9156249,0.37967402,0.017254772,7,4.0,773
4937,5872,1.5961707,0.31537402,0.019300703,8,0.0,616
5596,7190,1.712952,0.33906993,0.017602291,9,4.0,682
6254,8506,2.210394,0.43833035,0.018742025,10,7.0,664
6847,9692,2.4609303,0.48922455,0.014807581,11,12.0,615
7388,10774,2.2875285,0.45465612,0.014247733,12,5.0,559
7978,11954,2.0444562,0.4065927,0.011492778,13,4.0,601
8867,13732,3.2250056,0.64288366,0.010587418,14,10.0,915
9369,14736,3.3059483,0.6589836,0.01103043,15,11.0,509
11000,17998,2.4983134,0.4963315,0.016655864,16,55.0,1650
11641,19280,1.6281539,0.3230857,0.012725448,17,12.0,668
12543,21084,3.222951,0.64287376,0.008582203,18,89.0,930
13117,22232,2.6762547,0.5330818,0.010846008,19,15.0,598
13755,23508,1.9685473,0.3921314,0.007890405,20,22.0,658
14279,24556,2.5630202,0.511433,0.0058553335,21,16.0,536
15873,27744,2.4172037,0.48063162,0.014045566,22,57.0,1617
16555,29108,2.0578136,0.4093401,0.011113069,23,32.0,694
17079,30156,2.6235719,0.5231544,0.0077999877,24,12.0,551
17849,31696,1.689363,0.3354379,0.012173663,25,84.0,799
18728,33454,1.6074659,0.31898773,0.012527244,26,37.0,901
19573,35144,2.3825717,0.47445413,0.010301059,27,31.0,870
20595,37188,2.0477753,0.4075998,0.009776073,28,32.0,1038
21191,38380,1.6939462,0.33641285,0.011881995,29,0.0,621
21809,39616,1.6705267,0.33276474,0.006703011,30,0.0,625
22394,40786,0.023799889,0.001009274,0.01875352,31,0.0,614
23248,42494,0.88211435,0.17177927,0.023217998,32,7.0,871
23793,43584,4.0157185,0.7919488,0.055974,33,0.0,561
24377,44752,3.803031,0.7559144,0.023458948,34,22.0,594
25619,47236,2.1756659,0.43212867,0.015022556,35,21.0,1266
26347,48692,3.5152435,0.6993661,0.018413037,36,32.0,753
27119,50236,3.3591404,0.66704834,0.02389886,37,35.0,781
