environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
629,0,-1,-1,-1,1,0.0,630
1166,0,-1,-1,-1,2,0.0,559
1753,0,-1,-1,-1,3,3.0,611
2371,740,0.046881653,0.00869635,0.0033999018,4,0.0,633
2979,1956,0.30251172,0.058705572,0.00898386,5,0.0,629
3827,3652,0.71681964,0.13986126,0.017513396,6,4.0,868
4410,4818,0.7838284,0.15490836,0.009286601,7,0.0,604
5563,7124,0.9552141,0.189864,0.005894127,8,3.0,1171
6159,8316,1.1153948,0.22131291,0.008830285,9,1.0,614
6747,9492,1.3801891,0.27511352,0.004621378,10,2.0,610
7332,10662,1.3997731,0.27843994,0.0075734253,11,2.0,608
8000,11998,1.5229375,0.3027448,0.009213405,12,5.0,674
8559,13116,1.962975,0.3902436,0.011757107,13,6.0,583
9143,14284,1.4320469,0.28472573,0.008418354,14,2.0,594
9672,15342,1.5540245,0.30923784,0.007835273,15,18.0,558
10593,17184,1.8626158,0.36950773,0.015076975,16,15.0,929
11097,18192,2.5916896,0.5164725,0.009327154,17,7.0,519
11734,19466,1.672595,0.33253697,0.009910172,18,17.0,655
12414,20826,1.8688748,0.3712174,0.012787876,19,74.0,700
12974,21946,2.397952,0.47767454,0.009579499,20,18.0,576
13453,22904,2.8966105,0.5774214,0.009503801,21,67.0,496
14130,24258,1.8074023,0.35892603,0.012772223,22,63.0,689
14633,25264,1.8693976,0.37159127,0.011441441,23,11.0,520
15496,26990,2.0456808,0.40768117,0.007274977,24,135.0,891
16104,28206,2.33216,0.46450454,0.009637081,25,41.0,633
16784,29566,1.5211724,0.3021369,0.01048788,26,48.0,689
17735,31468,1.727433,0.343233,0.011268057,27,28.0,964
18308,32614,1.7584548,0.34910336,0.012938077,28,15.0,585
19051,34100,2.234222,0.44465452,0.010949168,29,92.0,753
19594,35186,2.2535758,0.4489373,0.008889295,30,12.0,553
20718,37434,2.3352528,0.4652855,0.008825093,31,10.0,1145
21302,38602,1.7865453,0.3551131,0.0109797,32,3.0,599
21910,39818,2.0589533,0.4093086,0.012410438,33,0.0,633
22478,40954,0.014565712,0.00015401549,0.013795635,34,5.0,584
23496,42990,3.9678452,0.78590965,0.03829727,35,26.0,1034
24108,44214,3.490024,0.6929338,0.025355263,36,4.0,626
25625,47248,2.5588362,0.5088083,0.014794624,37,25.0,1529
26288,48574,2.5590801,0.50898725,0.01414376,38,2.0,684
26881,49760,2.024257,0.40200597,0.014227146,39,7.0,611
27609,51216,1.7960488,0.35750097,0.008544024,40,30.0,743
28209,52416,1.6939026,0.3368644,0.009580511,41,21.0,619
29020,54038,2.2340574,0.44509333,0.008590708,42,39.0,818
30649,57296,2.4792542,0.49417615,0.008373312,43,182.0,1656
31287,58572,1.9502167,0.38796395,0.010396964,44,35.0,665
31819,59636,2.2378662,0.44597292,0.008001592,45,18.0,538
32242,60482,1.5911157,0.31644893,0.008871035,46,25.0,434
32730,61458,2.5138342,0.50048834,0.011392284,47,19.0,506
33321,62640,2.1892276,0.43652654,0.006594822,48,69.0,603
33886,63770,2.0845306,0.41408032,0.014128988,49,25.0,581
34510,65018,1.8337781,0.364632,0.010618212,50,46.0,651
35541,67080,2.321647,0.4613343,0.014975675,51,109.0,1054
36111,68220,2.9492774,0.5875204,0.011675393,52,18.0,594
36977,69952,1.9894205,0.39385575,0.02014172,53,45.0,875
37665,71328,1.6431346,0.3257449,0.014410018,54,88.0,706
38273,72544,2.6177626,0.52178115,0.008856854,55,22.0,629
38880,73758,2.633595,0.52461123,0.010538861,56,6.0,618
39405,74808,2.4175634,0.4812922,0.011102797,57,11.0,550
40708,77414,1.9830862,0.39450622,0.010554939,58,71.0,1320
41302,78602,1.5305326,0.30403006,0.010382354,59,0.0,619
41844,79686,3.660607,0.729604,0.01258713,60,0.0,570
42429,80856,2.5298924,0.4987588,0.03609839,61,0.0,600
42975,81948,1.9423089,0.3816226,0.034195997,62,0.0,574
43757,83512,3.6688988,0.72832364,0.027280703,63,13.0,790
44378,84754,2.5062573,0.4950879,0.030817956,64,6.0,635
45751,87500,3.6272087,0.7213144,0.02063663,65,68.0,1380
46375,88748,3.704903,0.7374786,0.017509604,66,13.0,641
47422,90842,2.3706694,0.4709589,0.01587487,67,63.0,1053
47978,91954,3.494823,0.69612193,0.01421305,68,13.0,581
48870,93738,3.7930737,0.7564125,0.011010839,69,39.0,921
49535,95068,2.2877226,0.45469725,0.014236369,70,56.0,685
