environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
158,0,-1,-1,-1,1,0.0,159
271,0,-1,-1,-1,2,0.0,126
578,0,-1,-1,-1,3,200.0,319
715,0,-1,-1,-1,4,0.0,149
895,0,-1,-1,-1,5,0.0,201
1168,0,-1,-1,-1,6,0.0,293
1373,0,-1,-1,-1,7,0.0,228
1536,0,-1,-1,-1,8,0.0,188
1627,0,-1,-1,-1,9,0.0,110
1775,0,-1,-1,-1,10,0.0,156
1837,0,-1,-1,-1,11,0.0,81
1901,0,-1,-1,-1,12,0.0,73
2058,114,0.38739833,0.07547686,0.010014032,13,0.0,177
2125,248,0.13592575,0.026174344,0.005054039,14,0.0,72
2201,400,0.1020484,0.019472992,0.004683434,15,0.0,100
2355,708,0.05910208,0.010516221,0.0065209824,16,0.0,165
2419,836,0.061540753,0.011943167,0.0018249146,17,0.0,84
2557,1112,0.06781104,0.012028912,0.0076664765,18,0.0,144
2614,1226,0.050936617,0.008881725,0.006527991,19,0.0,77
2788,1574,0.114782415,0.021205176,0.008756537,20,0.0,186
2912,1822,0.23217109,0.044185586,0.011243148,21,0.0,148
3121,2240,1.3064921,0.25827503,0.015116901,22,0.0,227
3273,2544,1.6529495,0.32648247,0.020537106,23,0.0,177
3378,2754,1.5903914,0.31484354,0.016173588,24,0.0,129
3597,3192,1.3470283,0.26696122,0.012222372,25,0.0,236
3746,3490,1.8867924,0.37617505,0.005917133,26,0.0,154
4779,5556,1.8658192,0.3698885,0.016376525,27,1300.0,1045
5280,6558,1.6106901,0.31988305,0.011274863,28,100.0,506
5589,7176,2.613995,0.52084124,0.009788706,29,0.0,334
6167,8332,1.7786956,0.3527233,0.015079122,30,300.0,583
6602,9202,1.573606,0.31212425,0.012984645,31,200.0,444
7402,10802,3.268362,0.6513352,0.011686159,32,400.0,812
7732,11462,2.0885081,0.4133196,0.021910055,33,0.0,339
8150,12298,3.1887827,0.6354855,0.01135541,34,200.0,424
9753,15504,3.4041476,0.6792784,0.0077555035,35,1000.0,1623
10499,16996,2.604937,0.51919466,0.008963848,36,600.0,767
11205,18408,2.4826334,0.49557373,0.0047646826,37,1600.0,728
11680,19358,3.537877,0.70519996,0.011876984,38,100.0,494
12403,20804,2.8100982,0.5611287,0.004454555,39,500.0,741
13771,23540,1.7107294,0.3403799,0.008829954,40,1900.0,1380
14282,24562,2.889276,0.5758615,0.009968566,41,1300.0,540
14875,25748,3.795639,0.7578422,0.0064279456,42,1700.0,604
15993,27984,1.7878131,0.35629702,0.006327978,43,900.0,1127
16173,28344,3.0189075,0.60198975,0.008958956,44,200.0,200
16669,29336,2.103744,0.41883588,0.00956446,45,300.0,521
16912,29822,2.7510924,0.54869395,0.007622898,46,400.0,253
17134,30266,1.8197219,0.36259675,0.00673817,47,200.0,230
17492,30982,2.5405998,0.5068034,0.0065829474,48,300.0,367
17982,31962,1.7708285,0.35245046,0.00857617,49,400.0,514
19031,34060,2.0764785,0.4140603,0.0061767977,50,2800.0,1064
20166,36330,3.2708893,0.65159047,0.012937125,51,2500.0,1142
20289,36576,2.324314,0.46342787,0.0071749366,52,0.0,150
20475,36948,2.3767161,0.4735857,0.008787866,53,0.0,193
20565,37128,2.1937013,0.43703198,0.00854152,54,0.0,100
20648,37294,1.9150884,0.38133037,0.008436464,55,0.0,97
21014,38026,2.4057946,0.47933197,0.009134753,56,0.0,385
21239,38476,2.984318,0.5951307,0.008664707,57,0.0,233
21525,39048,3.099906,0.6189716,0.0050480417,58,0.0,314
21661,39320,2.736928,0.5459961,0.0069474177,59,0.0,165
