environment_step,gradient_step,total_loss,spr_loss,td_error,num_episodes,episode_reward,episode_length
60,0,-1,-1,-1,1,0.0,61
158,0,-1,-1,-1,2,0.0,115
369,0,-1,-1,-1,3,0.0,221
705,0,-1,-1,-1,4,0.0,363
920,0,-1,-1,-1,5,0.0,241
1175,0,-1,-1,-1,6,100.0,267
1266,0,-1,-1,-1,7,0.0,105
1330,0,-1,-1,-1,8,0.0,74
1568,0,-1,-1,-1,9,0.0,253
1784,0,-1,-1,-1,10,0.0,223
1959,0,-1,-1,-1,11,0.0,181
2025,48,0.869575,0.16161112,0.061519362,12,0.0,87
2265,528,0.15911794,0.03149899,0.0016229812,13,0.0,247
2415,828,0.050029177,0.009199563,0.004031356,14,0.0,155
2509,1016,0.03447213,0.005569786,0.006623202,15,0.0,103
2589,1176,0.061369248,0.010716796,0.007785269,16,0.0,87
2710,1418,0.04915801,0.008838502,0.0049655023,17,0.0,141
2920,1838,0.18773827,0.03594213,0.008027632,18,0.0,221
3484,2966,1.5098646,0.29834503,0.018139405,19,300.0,589
3656,3310,1.2723708,0.2521235,0.011753229,20,0.0,196
3890,3778,1.3048971,0.25904202,0.009686882,21,0.0,239
4044,4086,1.4252441,0.2832311,0.009088622,22,0.0,161
4480,4958,1.8018506,0.3590644,0.0065286066,23,0.0,456
4711,5420,1.5290339,0.30448416,0.006612957,24,0.0,245
4908,5814,1.7695508,0.35195145,0.009793564,25,0.0,216
5469,6936,1.4739542,0.29338104,0.0070490604,26,0.0,572
5541,7080,1.6431648,0.3268888,0.008720723,27,0.0,89
5858,7714,2.0039036,0.399015,0.008828356,28,100.0,337
6259,8516,1.643718,0.32699445,0.008745878,29,100.0,424
6412,8822,1.6456394,0.3281287,0.0049959593,30,0.0,181
6518,9034,2.1599898,0.42996627,0.0101585,31,0.0,133
6801,9600,1.7940413,0.35737944,0.00714407,32,0.0,299
6979,9956,3.2619615,0.65129805,0.00547105,33,0.0,189
7268,10534,2.6001709,0.5187292,0.0065247566,34,0.0,309
7381,10760,3.3599176,0.6703044,0.0083959345,35,0.0,142
7522,11042,3.0493188,0.6084304,0.0071668676,36,0.0,146
8385,12768,2.2506275,0.44793367,0.010958806,37,600.0,876
8808,13614,1.9412508,0.3858428,0.012036579,38,100.0,428
9412,14822,2.31323,0.4608013,0.009223534,39,500.0,613
